time_s,from_AP,to_AP,SNR_new_dB,BER_new,Reff_new_Mbps,ho_time_est_s
4.300000,none,0,18.610495,0.000000,0.300000,0.002667
4.800000,0,none,0.000000,0.500000,0.000000,0.000000
22.400000,none,1,19.134063,0.000000,0.300000,0.002667
23.000000,1,none,0.000000,0.500000,0.000000,0.000000
23.100000,none,1,17.254400,0.000000,0.300000,0.002667
24.000000,1,none,0.000000,0.500000,0.000000,0.000000
26.800000,none,1,17.180631,0.000000,0.300000,0.002667
27.100000,1,none,0.000000,0.500000,0.000000,0.000000
28.000000,none,1,19.492272,0.000000,0.300000,0.002667
28.600000,1,none,0.000000,0.500000,0.000000,0.000000
36.200000,none,3,18.652365,0.000000,0.300000,0.002667
36.900000,3,none,0.000000,0.500000,0.000000,0.000000
37.200000,none,3,16.875946,0.000000,0.300000,0.002667
37.700000,3,none,0.000000,0.500000,0.000000,0.000000
39.700000,none,0,18.367591,0.000000,0.300000,0.002667
40.400000,0,none,0.000000,0.500000,0.000000,0.000000
42.500000,none,0,17.602289,0.000000,0.300000,0.002667
43.500000,0,none,0.000000,0.500000,0.000000,0.000000
53.900000,none,2,19.959679,0.000000,0.300000,0.002667
54.500000,2,none,0.000000,0.500000,0.000000,0.000000
54.600000,none,2,17.853562,0.000000,0.300000,0.002667
55.400000,2,none,0.000000,0.500000,0.000000,0.000000
58.700000,none,5,17.641464,0.000000,0.300000,0.002667
59.200000,5,none,0.000000,0.500000,0.000000,0.000000
64.200000,none,4,17.710333,0.000000,0.300000,0.002667
65.000000,4,none,0.000000,0.500000,0.000000,0.000000
70.000000,none,4,16.880824,0.000000,0.300000,0.002667
70.100000,4,none,0.000000,0.500000,0.000000,0.000000
72.400000,none,4,16.843040,0.000000,0.300000,0.002667
72.900000,4,none,0.000000,0.500000,0.000000,0.000000
78.100000,none,5,16.622560,0.000000,0.300000,0.002667
78.500000,5,none,0.000000,0.500000,0.000000,0.000000
82.300000,none,5,18.046819,0.000000,0.300000,0.002667
83.000000,5,none,0.000000,0.500000,0.000000,0.000000
84.400000,none,3,18.284691,0.000000,0.300000,0.002667
84.700000,3,none,0.000000,0.500000,0.000000,0.000000
96.700000,none,2,17.816456,0.000000,0.300000,0.002667
97.300000,2,none,0.000000,0.500000,0.000000,0.000000
97.800000,none,2,18.114792,0.000000,0.300000,0.002667
98.200000,2,none,0.000000,0.500000,0.000000,0.000000
101.200000,none,2,17.995254,0.000000,0.300000,0.002667
101.800000,2,none,0.000000,0.500000,0.000000,0.000000
103.800000,none,2,18.397698,0.000000,0.300000,0.002667
104.500000,2,none,0.000000,0.500000,0.000000,0.000000
109.400000,none,4,16.736618,0.000000,0.300000,0.002667
110.800000,4,none,0.000000,0.500000,0.000000,0.000000
111.300000,none,4,18.634475,0.000000,0.300000,0.002667
111.900000,4,none,0.000000,0.500000,0.000000,0.000000
112.300000,none,4,17.147103,0.000000,0.300000,0.002667
112.400000,4,none,0.000000,0.500000,0.000000,0.000000
112.700000,none,4,16.714617,0.000000,0.300000,0.002667
112.800000,4,none,0.000000,0.500000,0.000000,0.000000
114.000000,none,4,18.083735,0.000000,0.300000,0.002667
114.100000,4,none,0.000000,0.500000,0.000000,0.000000
118.900000,none,4,17.235944,0.000000,0.300000,0.002667
119.100000,4,none,0.000000,0.500000,0.000000,0.000000
